Frequency,F/S,classes,,Teacher units needed per yr,WR ,WR who,Env,,Str,,Trans,,Geo,,Extra,,Any,,
,,CEGE 8442,Nonlinear Analysis of Structural Systems,,,,,,,JL,,,,,,,,,
,,CEGE 8451,Behavior of Reinforced Concrete Structure,,,,,,,BW,,,,,,,,,
1/2 yrs,F,CEGE 8461,Structural Reliability,0.5,,,,,0.5,JL,,,,,,,,,
1/2 yr,S?,CEGE 8211,Theory of Traffic Flow,0.5,,,,,,,0.5,ML,,,,,,,
,,CEGE 8212,Advanced Travel Demand Modeling and Supply Analysis,,,,,,,,,,,,,,,,hasn't been taught in the past 10 years
,,CEGE 8213,Advanced Transportation Technology Seminar,,,,,,,,,,,,,,,,"CTS put this seminar together with ME/CSCI, CEGE Faculty don't teach this course"
1/2 yrs,S?,CEGE 8215,Transportation Data Analysis,0.5,,,,,,,0.5,GD,,,,,,,
,,CEGE 8216,Urban Traffic Operations,,,,,,,,,,,,,,,,hasn't been taught in the past 10 years
1/2 yr,S?,CEGE 8217,Transportation Network Analysis,0.5,,,,,,,0.5,AK,,,,,,,
,,CEGE 8218,Dynamic Transportation Network Analysis,,,,,,,,,AK,,,,,,,
1/2 yr,S?,CEGE 8490,Cyberphysical systems,0.5,,,,,,,0.5,RS,,,,,,,
1/4 yrs??,F,CEGE 8321,Thermoporoelasticity,0.25,,,,,,,,,0.25,ED,,,,,
1/2 yr,F,CEGE 8341,Wave Propagation in Solids and Structures,0.5,,,,,,,,,0.5,SG,,,,,
,?,CEGE 8351,Advanced Engineering Mathematics II,,,,,,,,,,,OS,,,,,
,F,CEGE 8352,Advanced Groundwater Mechanics II,,,,,,,,,,,OS,,,,,
,,,TOTAL,72.84,13.34,,14.25,,11.5,,8.5,,10.25,,4,,9,,
,,,TOTAL minus Ann J. & Michelle & Troy,67.84,,,,,,,,,,,,,,,
,,,Faculty capability,70.5,12,,14.5,,16,,10,,12,,4,,6,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,CEGE 8022,Numerical Methods for free & Moving Boundary Problems ,,,VV,,,,,,,,,,,,,
,,CEGE 8601,Intro to Stream Restoration ,,,VV,,,,,,,,,,,,,
,,CEGE 8602,Stream Restoration Practice ,,,VV,,,,,,,,,,,,,
,,CEGE 8571,Hydraulic Measurements,,,,,,,,,,,,,,,,
,,CEGE 8572,Computational Environmental Fluid Dynamics,,,,,,,,,,,,,,,,
,,CEGE 8545,Data Quality ,,,,,,,,,,,,,,,,
,,CEGE 8581,"Research and Professional Ethics in 
Water Resources and Environmental Science",,,"PN, SB",,,,,,,,,,,,,
,,CEGE 8214,Transportation Economics ,,,,,,,,,,,,,,,,
